month,us_prod
2019-11-15,388984
2019-12-15,400219
2020-01-15,396329
2020-02-15,371949
2020-03-15,397298
2020-04-15,357344
2020-05-15,301045
2020-06-15,312593
2020-07-15,339651
2020-08-15,327285
2020-09-15,326042
2020-10-15,322816
2020-11-15,333621
2020-12-15,343591
2021-01-15,342747
2021-02-15,273646
2021-03-15,345946
2021-04-15,336905
2021-05-15,351346
2021-06-15,338645
2021-07-15,351228
2021-08-15,347393
2021-09-15,325538
2021-10-15,357314
2021-11-15,353075
2021-12-15,359709
2022-01-15,352449
2022-02-15,316851
2022-03-15,362329
2022-04-15,348849
,
