,period,area-name,series-description,value,units
1949,2020-05-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),44,MBBL/D
1959,2020-05-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1971,2020-05-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
1975,2020-05-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),469,MBBL/D
1989,2020-05-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),814,MBBL/D
1990,2020-05-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),48,MBBL/D
1993,2020-05-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
1995,2020-05-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),164,MBBL/D
2015,2020-05-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),70,MBBL/D
2020,2020-04-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),413,MBBL/D
2024,2020-04-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2029,2020-04-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),4,MBBL/D
2034,2020-04-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
2039,2020-04-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),890,MBBL/D
2042,2020-04-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),15,MBBL/D
2050,2020-04-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),60,MBBL/D
2052,2020-04-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2069,2020-04-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),37,MBBL/D
2073,2020-04-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),52,MBBL/D
2096,2020-04-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),8206,MBBL/D
2097,2020-04-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1209,MBBL/D
2098,2020-04-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),104,MBBL/D
2106,2020-03-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),470,MBBL/D
2116,2020-03-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),71,MBBL/D
2121,2020-03-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),286,MBBL/D
2128,2020-03-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2138,2020-03-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2141,2020-03-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
2147,2020-03-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),50,MBBL/D
2149,2020-03-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),62,MBBL/D
2156,2020-03-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2163,2020-03-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2164,2020-03-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),8708,MBBL/D
2165,2020-03-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2172,2020-03-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),456,MBBL/D
2178,2020-03-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
2182,2020-03-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),518,MBBL/D
2183,2020-03-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),118,MBBL/D
2185,2020-02-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),463,MBBL/D
2186,2020-02-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2190,2020-02-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),12,MBBL/D
2197,2020-02-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),2216,MBBL/D
2222,2020-02-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),528,MBBL/D
2223,2020-02-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),95,MBBL/D
2240,2020-02-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1437,MBBL/D
2242,2020-02-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2245,2020-02-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),60,MBBL/D
2247,2020-02-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2259,2020-02-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2266,2020-02-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),120,MBBL/D
2275,2020-01-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2279,2020-01-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
2284,2020-01-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),396,MBBL/D
2287,2020-01-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),88,MBBL/D
2288,2020-01-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),56,MBBL/D
2289,2020-01-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
2312,2020-01-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),468,MBBL/D
2319,2020-01-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),993,MBBL/D
2339,2020-01-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2346,2020-01-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),80,MBBL/D
2349,2020-01-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),541,MBBL/D
2352,2019-12-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),83,MBBL/D
2355,2019-12-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),90,MBBL/D
2363,2019-12-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2366,2019-12-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),602,MBBL/D
2377,2019-12-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),14,MBBL/D
2384,2019-12-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2385,2019-12-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
2387,2019-12-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),467,MBBL/D
2389,2019-12-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),53,MBBL/D
2407,2019-12-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),2297,MBBL/D
2412,2019-12-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2417,2019-12-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2420,2019-12-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2447,2019-11-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),83,MBBL/D
2458,2019-11-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),23,MBBL/D
2463,2019-11-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2465,2019-11-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),470,MBBL/D
2466,2019-11-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),14,MBBL/D
2468,2019-11-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),87,MBBL/D
2472,2019-11-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),47,MBBL/D
2475,2019-11-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),578,MBBL/D
2505,2019-11-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),420,MBBL/D
2519,2019-11-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),14,MBBL/D
2524,2019-10-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),85,MBBL/D
2532,2019-10-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1498,MBBL/D
2540,2019-10-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),617,MBBL/D
2556,2019-10-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),46,MBBL/D
2578,2019-10-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),8404,MBBL/D
2580,2019-10-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2581,2019-10-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),295,MBBL/D
2583,2019-10-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),461,MBBL/D
2596,2019-10-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),83,MBBL/D
2609,2019-09-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),80,MBBL/D
2619,2019-09-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2621,2019-09-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),46,MBBL/D
2625,2019-09-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),14,MBBL/D
2627,2019-09-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2629,2019-09-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),984,MBBL/D
2633,2019-09-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2634,2019-09-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),23,MBBL/D
2648,2019-09-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2660,2019-09-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),60,MBBL/D
2669,2019-09-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),534,MBBL/D
2672,2019-09-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2677,2019-09-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2686,2019-09-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),55,MBBL/D
2687,2019-09-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2688,2019-08-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2694,2019-08-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1462,MBBL/D
2706,2019-08-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),973,MBBL/D
2709,2019-08-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2715,2019-08-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2720,2019-08-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2722,2019-08-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),127,MBBL/D
2730,2019-08-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
2737,2019-08-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),535,MBBL/D
2762,2019-08-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2773,2019-07-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1531,MBBL/D
2779,2019-07-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),73,MBBL/D
2788,2019-07-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),94,MBBL/D
2793,2019-07-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),51,MBBL/D
2795,2019-07-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),14,MBBL/D
2812,2019-07-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2822,2019-07-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2835,2019-07-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),434,MBBL/D
2843,2019-07-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
2846,2019-07-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2847,2019-07-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),588,MBBL/D
2872,2019-06-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),441,MBBL/D
2883,2019-06-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),97,MBBL/D
2884,2019-06-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2888,2019-06-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),967,MBBL/D
2893,2019-06-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),438,MBBL/D
2894,2019-06-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
2897,2019-06-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),104,MBBL/D
2910,2019-06-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2927,2019-06-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2928,2019-06-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),270,MBBL/D
2943,2019-05-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
2952,2019-05-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2964,2019-05-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),278,MBBL/D
2970,2019-05-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),435,MBBL/D
2986,2019-05-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1914,MBBL/D
2998,2019-05-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
3000,2019-05-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),67,MBBL/D
3001,2019-05-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),5000,MBBL/D
3005,2019-05-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),14,MBBL/D
3016,2019-05-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
3024,2019-04-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3026,2019-04-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),23,MBBL/D
3028,2019-04-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3034,2019-04-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),105,MBBL/D
3035,2019-04-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),7995,MBBL/D
3037,2019-04-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3039,2019-04-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),460,MBBL/D
3049,2019-04-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),15,MBBL/D
3050,2019-04-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),601,MBBL/D
3054,2019-04-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3060,2019-04-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
3077,2019-04-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3091,2019-04-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),94,MBBL/D
3117,2019-03-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),57,MBBL/D
3134,2019-03-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),61,MBBL/D
3139,2019-03-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4863,MBBL/D
3149,2019-03-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),264,MBBL/D
3175,2019-03-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3209,2019-02-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),128,MBBL/D
3212,2019-02-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
3223,2019-02-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),827,MBBL/D
3226,2019-02-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
3250,2019-02-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),941,MBBL/D
3263,2019-02-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),89,MBBL/D
3265,2019-02-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3266,2019-02-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),61,MBBL/D
3267,2019-02-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
3273,2019-02-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),924,MBBL/D
3282,2019-01-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),7721,MBBL/D
3286,2019-01-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3289,2019-01-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),3,MBBL/D
3294,2019-01-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),42,MBBL/D
3316,2019-01-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),4793,MBBL/D
3317,2019-01-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),101,MBBL/D
3318,2019-01-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),481,MBBL/D
3319,2019-01-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3333,2019-01-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),809,MBBL/D
3339,2019-01-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),64,MBBL/D
3358,2019-01-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3373,2018-12-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),597,MBBL/D
