,Date,Total Approve,Total Disapprove,Total_Approve,Total_Disapprove,Relative_Approval,Neutral
476,2015-03-10,49%,50%,49,50,-1,1
477,2015-03-09,47%,51%,47,51,-4,2
478,2015-03-06,46%,52%,46,52,-6,2
479,2015-03-05,47%,52%,47,52,-5,1
480,2015-03-04,48%,51%,48,51,-3,1
481,2015-03-03,49%,50%,49,50,-1,1
482,2015-03-02,49%,49%,49,49,0,2
483,2015-03-01,48%,51%,48,51,-3,1
484,2015-02-28,47%,52%,47,52,-5,1
485,2015-02-27,47%,52%,47,52,-5,1
486,2015-02-26,47%,51%,47,51,-4,2
487,2015-02-25,49%,49%,49,49,0,2
488,2015-02-24,48%,50%,48,50,-2,2
489,2015-02-23,49%,50%,49,50,-1,1
490,2015-02-22,50%,49%,50,49,1,1
491,2015-02-21,51%,48%,51,48,3,1
492,2015-02-20,49%,50%,49,50,-1,1
493,2015-02-19,47%,52%,47,52,-5,1
494,2015-02-18,49%,50%,49,50,-1,1
495,2015-02-17,49%,49%,49,49,0,2
496,2015-02-16,50%,48%,50,48,2,2
497,2015-02-15,49%,49%,49,49,0,2
498,2015-02-14,47%,51%,47,51,-4,2
499,2015-02-13,46%,53%,46,53,-7,1
500,2015-02-12,46%,52%,46,52,-6,2
501,2015-02-11,46%,52%,46,52,-6,2
502,2015-02-10,49%,50%,49,50,-1,1
503,2015-02-09,49%,50%,49,50,-1,1
504,2015-02-08,50%,49%,50,49,1,1
505,2015-02-07,48%,50%,48,50,-2,2
506,2015-02-06,48%,50%,48,50,-2,2
507,2015-02-05,50%,48%,50,48,2,2
508,2015-02-04,51%,48%,51,48,3,1
509,2015-02-03,50%,49%,50,49,1,1
510,2015-02-02,51%,48%,51,48,3,1
511,2015-02-01,51%,47%,51,47,4,2
512,2015-01-31,51%,47%,51,47,4,2
513,2015-01-30,50%,48%,50,48,2,2
514,2015-01-29,50%,49%,50,49,1,1
515,2015-01-28,48%,51%,48,51,-3,1
516,2015-01-27,47%,51%,47,51,-4,2
517,2015-01-26,48%,51%,48,51,-3,1
518,2015-01-25,50%,48%,50,48,2,2
519,2015-01-24,52%,47%,52,47,5,1
